provinces,cityMunicipality,link
NATIONAL CAPITAL REGION (NCR),PATEROS DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/PATEROS-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),QUEZON CITY DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/QUEZON_CITY_1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),QUEZON CITY DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/QUEZON_CITY_2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),QUEZON CITY DIST 3,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/QUEZON_CITY_3RD_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),QUEZON CITY DIST 4,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/QUEZON_CITY_4TH_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),QUEZON CITY DIST 5,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/QUEZON_CITY_5TH_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),QUEZON CITY DIST 6,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/QUEZON_CITY_6TH_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),SAN JUAN CITY DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/SAN_JUAN-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),SAN JUAN CITY DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/SAN_JUAN-2ND_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),TAGUIG CITY DIST 1,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/TAGUIG-1ST_DISTRICT.pdf
NATIONAL CAPITAL REGION (NCR),TAGUIG CITY DIST 2,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/NCR/TAGUIG-2ND_DISTRICT.pdf
